gamma,mse,p0,ps0,ps1,pc0,pc1,pwifi,p4g,p5g,pgps,pbg0,pbg1,b_mean_used_for_fit,u_mean_used_for_fit
1.0,0.032514099778341424,0.13753486256057468,-0.07562309176002821,0.4581333329742719,-0.07197937216873107,0.721228414152148,0.06305447634548399,0.19622135269010071,0.34735172702366635,0.15685746223765124,0.026143158276389883,0.09361646575963328,0.5233327564314969,0.2904963659457602
1.1,0.03188547661620384,0.1372694422250773,-0.07649322927641111,0.46071992279673885,-0.058031110903977556,0.7414614706540605,0.0629624244765679,0.19631418564681521,0.3476694512143355,0.15699411222622703,0.02600822177228604,0.09380047233414879,0.5233327564314969,0.26339946105776396
1.2,0.03129291312156961,0.13689934605018417,-0.07741711020676417,0.46390217442053017,-0.04634075104379928,0.7644270675348197,0.06283631935009507,0.19640417568159446,0.3479483728135538,0.157140643582608,0.02582256185664746,0.09394847542630862,0.5233327564314969,0.23970906261166752
1.3,0.030737756958413628,0.13643595895471386,-0.07837743507865053,0.4675980997914758,-0.03639127535772324,0.7895207864022511,0.0626795759448029,0.1964899246342254,0.3481901172081978,0.15729535820631305,0.025593363894146407,0.09406046275656789,0.5233327564314969,0.21890143498631218
1.4,0.03022082492862478,0.1358906594475939,-0.07935852810173599,0.4717286014226988,-0.027812215785842143,0.8162898857344507,0.06249560185676032,0.19657013162773007,0.34839637417712976,0.15745641863517768,0.025327903292167327,0.09413668539880934,0.5233327564314969,0.20054502324740509
1.5,0.02974246169232085,0.13527459882611298,-0.08034658519376103,0.4762188764106991,-0.02033095545127117,0.844385009553847,0.0622877480228294,0.1966436488119207,0.3485688622785752,0.15762192586914964,0.02503324663121232,0.0941776349422994,0.5233327564314969,0.18428270456730095
1.6,0.029302599968597055,0.1345985252692375,-0.08132979100156337,0.48099938700954376,-0.013742305966414875,0.8735299997537633,0.06205926825512657,0.1967095182566355,0.34870930181636034,0.1577899859107581,0.02471602904345344,0.0941840227893386,0.5233327564314969,0.1698176712410667
1.7000000000000002,0.028900819810086482,0.13387264781188318,-0.08229832582002575,0.486006460005899,-0.007888824544035639,0.9035023030430188,0.061813286035482674,0.1967669912492354,0.34881939416951857,0.15795876401784437,0.024382305202446414,0.09415676075945939,0.5233327564314969,0.15690216954580982
1.8,0.02853640521365276,0.13310653565511163,-0.08324428680210305,0.49118258039471163,-0.0026476870338964786,0.9341198147284924,0.06155276766161147,0.19681553256703055,0.34890080598208634,0.1581265267131394,0.024037465050656275,0.09409694228611946,0.5233327564314969,0.14532848979684412
1.9,0.028208396890853107,0.1323090486458934,-0.08416154803221357,0.49647644267318913,0.0020783034111676035,0.9652317637454279,0.06128050123972063,0.19685481293315113,0.34895515723981346,0.1582916723348597,0.023686202183185817,0.09400582368370664,0.5233327564314969,0.13492173536676558
2.0,0.027915640476382148,0.13148829498691797,-0.08504558187787203,0.5018428175224499,0.006367022675152434,0.9967122108303623,0.06099908120044983,0.19688469296868363,0.34898401259604567,0.1584527513769485,0.023332522000507033,0.09388480517644823,0.5233327564314969,0.1255340010797064
2.1,0.027656829809279485,0.13065161235411268,-0.08589326052062451,0.50724228432408,0.010281543802745319,1.0284552829099254,0.06071089803715801,0.19690520169463066,0.3489888754869182,0.15860847810684056,0.022979777574620434,0.09373541157965078,0.5233327564314969,0.11703967110648227
2.2,0.027430545192473867,0.12980556868228882,-0.08670265252075054,0.5126408720032366,0.01387343660108524,1.0603715909452187,0.060418132897527156,0.19691651217184022,0.34897118464947174,0.15875773501669427,0.02263072292860092,0.09355927268666417,0.5233327564314969,0.1093316085044801
2.3,0.02723528673438332,0.12895597899339445,-0.08747282528842781,0.5180096428615036,0.01718521949674763,1.0923854744553165,0.060122756560265715,0.19691891632038813,0.34893231267475405,0.15889957161165927,0.022287575547243275,0.09335810353348689,0.5233327564314969,0.10231805688844467
2.4000000000000004,0.027069503014517115,0.1281079348256465,-0.08820366078717318,0.5233242468261627,0.020252210269941964,1.1244328373188486,0.059826532238908305,0.19691280041887055,0.3488735662278761,0.15903319890940176,0.02195208203374265,0.09313368478691969,0.5233327564314969,0.09592011247392591
2.5,0.02693161540499891,0.12726584308524266,-0.08889568886348159,0.5285644671454599,0.02310394298335111,1.1564594162414175,0.059531021596185674,0.1968986223007461,0.3487961875701884,0.15915798085343724,0.021625582682825235,0.0928878435367204,0.5233327564314969,0.0900696542815136
2.6,0.026820038431989796,0.1264334714741367,-0.08954994032225203,0.5337137730986011,0.025765266706690965,1.1884193728022414,0.05923759333234233,0.19687689086404578,0.34870135703498123,0.1592734236546751,0.02130907225713618,0.09262243477489013,0.5233327564314969,0.0847076434595949
2.7,0.026733196584080174,0.12561399802447834,-0.09016782020699513,0.5387588907625407,0.028257207274318616,1.2202741325125028,0.058947433726563664,0.19684814819823554,0.3485901961387895,0.15937916388896145,0.021003255416312087,0.09233932382433363,0.5233327564314969,0.07978272089081277
2.8,0.026669537976399482,0.12481006266637218,-0.09075100060816882,0.5436893992231062,0.030597650083802455,1.2519914160408758,0.0586615585547595,0.19681295440205593,0.348463771052415,0.15947495600482617,0.020708596089811727,0.09204036994250071,0.5233327564314969,0.07525004658635673
2.9000000000000004,0.026627545265717444,0.12402381914638276,-0.09130133160797937,0.5484973567412682,0.03280188598763463,1.2835444225227486,0.058380825870067335,0.19677187500715515,0.34832309620427354,0.15956065974157946,0.020425360659567286,0.09172741127997112,0.5233327564314969,0.07107033568965139
3.0,0.026605744188227736,0.12325698598085157,-0.09182076857413354,0.553176959178622,0.034883051204168666,1.3149111350758826,0.058105949205768496,0.1967254708206298,0.34816913783875514,0.15963622782615447,0.020153655185855768,0.09140225132470027,0.5233327564314969,0.0672090548638859
